Timestamp,Bay,Slot,Customer Name,Code Used
2026-05-31 07:13:00,Staff,2,User 1,staff-protected
2026-05-31 07:29:00,Staff,2,User 1,staff-protected
2026-05-31 07:44:00,Staff,2,User 1,staff-protected
2026-05-31 07:59:00,Staff,2,User 1,staff-protected
2026-05-31 08:14:00,Staff,2,User 1,staff-protected
2026-05-31 08:29:00,Staff,2,User 1,staff-protected
2026-05-31 15:55:00,Staff,2,User 1,staff-protected
2026-05-31 16:21:00,Staff,2,User 1,staff-protected
2026-05-31 16:37:00,Staff,2,User 1,staff-protected
2026-05-31 16:52:00,Staff,2,User 1,staff-protected
2026-05-31 17:40:00,Staff,2,User 1,staff-protected
2026-05-31 17:56:00,Staff,2,User 1,staff-protected
2026-05-31 18:11:00,Staff,2,User 1,staff-protected
2026-05-31 18:27:00,Staff,2,User 1,staff-protected
2026-05-31 18:42:00,Staff,2,User 1,staff-protected
2026-05-31 18:58:00,Staff,2,User 1,staff-protected
2026-05-31 19:14:00,Staff,2,User 1,staff-protected
2026-05-31 19:29:00,Staff,2,User 1,staff-protected
2026-05-31 19:45:00,Staff,2,User 1,staff-protected
2026-05-31 20:00:00,Staff,2,User 1,staff-protected
2026-05-31 20:16:00,Staff,2,User 1,staff-protected
2026-05-31 20:32:00,Staff,2,User 1,staff-protected
2026-05-31 20:47:00,Staff,2,User 1,staff-protected
2026-05-31 21:02:00,Staff,2,User 1,staff-protected
2026-05-31 21:17:00,Staff,2,User 1,staff-protected
2026-05-31 21:33:00,Staff,2,User 1,staff-protected
2026-05-31 21:49:00,Staff,2,User 1,staff-protected
2026-05-31 22:04:00,Staff,2,User 1,staff-protected
2026-05-31 22:19:00,Staff,2,User 1,staff-protected
2026-05-31 22:35:00,Staff,2,User 1,staff-protected
2026-05-31 22:51:00,Staff,2,User 1,staff-protected
2026-05-31 23:06:00,Staff,2,User 1,staff-protected
2026-05-31 23:22:00,Staff,2,User 1,staff-protected
2026-05-31 23:38:00,Staff,2,User 1,staff-protected
2026-05-31 23:54:00,Staff,2,User 1,staff-protected
2026-06-01 00:10:00,Staff,2,User 1,staff-protected
2026-06-01 00:26:00,Staff,2,User 1,staff-protected
2026-06-01 00:41:00,Staff,2,User 1,staff-protected
2026-06-01 00:57:00,Staff,2,User 1,staff-protected
2026-06-01 01:12:00,Staff,2,User 1,staff-protected
2026-06-01 01:27:00,Staff,2,User 1,staff-protected
2026-06-01 01:42:00,Staff,2,User 1,staff-protected
2026-06-01 01:58:00,Staff,2,User 1,staff-protected
2026-06-01 02:13:00,Staff,2,User 1,staff-protected
2026-06-01 02:29:00,Staff,2,User 1,staff-protected
2026-06-01 02:45:00,Staff,2,User 1,staff-protected
2026-06-01 03:00:00,Staff,2,User 1,staff-protected
2026-06-01 03:16:00,Staff,2,User 1,staff-protected
2026-06-01 03:32:00,Staff,2,User 1,staff-protected
2026-06-01 03:48:00,Staff,2,User 1,staff-protected
2026-06-01 04:04:00,Staff,2,User 1,staff-protected
2026-06-01 04:20:00,Staff,2,User 1,staff-protected
2026-06-01 04:36:00,Staff,2,User 1,staff-protected
2026-06-01 04:52:00,Staff,2,User 1,staff-protected
2026-06-01 05:08:00,Staff,2,User 1,staff-protected
2026-06-01 05:23:00,Staff,2,User 1,staff-protected
2026-06-01 05:38:00,Staff,2,User 1,staff-protected
2026-06-01 05:54:00,Staff,2,User 1,staff-protected
2026-06-01 06:10:00,Staff,2,User 1,staff-protected
2026-06-01 06:25:00,Staff,2,User 1,staff-protected
2026-06-01 06:41:00,Staff,2,User 1,staff-protected
2026-06-01 06:57:00,Staff,2,User 1,staff-protected
2026-06-01 07:13:00,Staff,2,User 1,staff-protected
2026-06-01 07:29:00,Staff,2,User 1,staff-protected
2026-06-01 07:45:00,Staff,2,User 1,staff-protected
2026-06-01 08:00:00,Staff,2,User 1,staff-protected
2026-06-01 08:16:00,Staff,2,User 1,staff-protected
2026-06-01 08:32:00,Staff,2,User 1,staff-protected
2026-06-01 08:47:00,Staff,2,User 1,staff-protected
2026-06-01 09:02:00,Staff,2,User 1,staff-protected
2026-06-01 09:18:00,Staff,2,User 1,staff-protected
2026-06-01 09:34:00,Staff,2,User 1,staff-protected
2026-06-01 09:49:00,Staff,2,User 1,staff-protected
2026-06-01 10:04:00,Staff,2,User 1,staff-protected
2026-06-01 10:20:00,Staff,2,User 1,staff-protected
2026-06-01 10:35:00,Staff,2,User 1,staff-protected
2026-06-01 10:50:00,Staff,2,User 1,staff-protected
2026-06-01 11:06:00,Staff,2,User 1,staff-protected
2026-06-01 11:22:00,Staff,2,User 1,staff-protected
2026-06-01 11:38:00,Staff,2,User 1,staff-protected
2026-06-01 11:53:00,Staff,2,User 1,staff-protected
2026-06-01 12:09:00,Staff,2,User 1,staff-protected
2026-06-01 12:24:00,Staff,2,User 1,staff-protected
2026-06-01 12:39:00,Staff,2,User 1,staff-protected
2026-06-01 12:54:00,Staff,2,User 1,staff-protected
2026-06-01 13:09:00,Staff,2,User 1,staff-protected
2026-06-01 13:25:00,Staff,2,User 1,staff-protected
2026-06-01 13:41:00,Staff,2,User 1,staff-protected
2026-06-01 13:57:00,Staff,2,User 1,staff-protected
2026-06-01 14:13:00,Staff,2,User 1,staff-protected
2026-06-01 14:29:00,Staff,2,User 1,staff-protected
2026-06-01 14:44:00,Staff,2,User 1,staff-protected
2026-06-01 15:00:00,Staff,2,User 1,staff-protected
2026-06-01 15:16:00,Staff,2,User 1,staff-protected
2026-06-01 15:32:00,Staff,2,User 1,staff-protected
2026-06-01 15:47:00,Staff,2,User 1,staff-protected
2026-06-01 16:03:00,Staff,2,User 1,staff-protected
2026-06-01 16:19:00,Staff,2,User 1,staff-protected
2026-06-01 16:34:00,Staff,2,User 1,staff-protected
2026-06-01 16:50:00,Staff,2,User 1,staff-protected
2026-06-01 17:06:00,Staff,2,User 1,staff-protected
2026-06-01 17:21:00,Staff,2,User 1,staff-protected
2026-06-01 17:37:00,Staff,2,User 1,staff-protected
2026-06-01 17:53:00,Staff,2,User 1,staff-protected
2026-06-01 18:08:00,Staff,2,User 1,staff-protected
2026-06-01 18:23:00,Staff,2,User 1,staff-protected
2026-06-01 18:38:00,Staff,2,User 1,staff-protected
2026-06-01 18:54:00,Staff,2,User 1,staff-protected
2026-06-01 19:10:00,Staff,2,User 1,staff-protected
2026-06-01 19:26:00,Staff,2,User 1,staff-protected
2026-06-01 19:41:00,Staff,2,User 1,staff-protected
2026-06-01 19:57:00,Staff,2,User 1,staff-protected
2026-06-01 20:13:00,Staff,2,User 1,staff-protected
2026-06-01 20:29:00,Staff,2,User 1,staff-protected
2026-06-01 20:45:00,Staff,2,User 1,staff-protected
2026-06-01 21:00:00,Staff,2,User 1,staff-protected
2026-06-01 21:15:00,Staff,2,User 1,staff-protected
2026-06-01 21:31:00,Staff,2,User 1,staff-protected
2026-06-01 21:47:00,Staff,2,User 1,staff-protected
2026-06-01 22:02:00,Staff,2,User 1,staff-protected
2026-06-01 22:18:00,Staff,2,User 1,staff-protected
2026-06-01 22:34:00,Staff,2,User 1,staff-protected
2026-06-01 22:50:00,Staff,2,User 1,staff-protected
2026-06-01 23:06:00,Staff,2,User 1,staff-protected
2026-06-01 23:21:00,Staff,2,User 1,staff-protected
2026-06-01 23:37:00,Staff,2,User 1,staff-protected
2026-06-01 23:53:00,Staff,2,User 1,staff-protected
2026-06-02 00:09:00,Staff,2,User 1,staff-protected
2026-06-02 00:24:00,Staff,2,User 1,staff-protected
2026-06-02 00:40:00,Staff,2,User 1,staff-protected
2026-06-02 00:55:00,Staff,2,User 1,staff-protected
2026-06-02 01:10:00,Staff,2,User 1,staff-protected
2026-06-02 01:26:00,Staff,2,User 1,staff-protected
2026-06-02 01:42:00,Staff,2,User 1,staff-protected
2026-06-02 01:58:00,Staff,2,User 1,staff-protected
2026-06-02 02:13:00,Staff,2,User 1,staff-protected
2026-06-02 02:28:00,Staff,2,User 1,staff-protected
2026-06-02 02:43:00,Staff,2,User 1,staff-protected
2026-06-02 02:58:00,Staff,2,User 1,staff-protected
2026-06-02 03:14:00,Staff,2,User 1,staff-protected
2026-06-02 03:29:00,Staff,2,User 1,staff-protected
2026-06-02 03:45:00,Staff,2,User 1,staff-protected
2026-06-02 04:00:00,Staff,2,User 1,staff-protected
2026-06-02 04:16:00,Staff,2,User 1,staff-protected
2026-06-02 04:31:00,Staff,2,User 1,staff-protected
2026-06-02 04:47:00,Staff,2,User 1,staff-protected
2026-06-02 05:03:00,Staff,2,User 1,staff-protected
2026-06-02 05:19:00,Staff,2,User 1,staff-protected
2026-06-02 05:35:00,Staff,2,User 1,staff-protected
2026-06-02 05:51:00,Staff,2,User 1,staff-protected
2026-06-02 06:07:00,Staff,2,User 1,staff-protected
2026-06-02 06:23:00,Staff,2,User 1,staff-protected
2026-06-02 06:39:00,Staff,2,User 1,staff-protected
2026-06-02 06:54:00,Staff,2,User 1,staff-protected
2026-06-02 07:10:00,Staff,2,User 1,staff-protected
2026-06-02 07:25:00,Staff,2,User 1,staff-protected
2026-06-02 07:40:00,Staff,2,User 1,staff-protected
2026-06-02 07:56:00,Staff,2,User 1,staff-protected
2026-06-02 08:11:00,Staff,2,User 1,staff-protected
2026-06-02 08:27:00,Staff,2,User 1,staff-protected
2026-06-02 08:42:00,Staff,2,User 1,staff-protected
2026-06-02 08:58:00,Staff,2,User 1,staff-protected
2026-06-02 09:13:00,Staff,2,User 1,staff-protected
2026-06-02 09:29:00,Staff,2,User 1,staff-protected
2026-06-02 09:44:00,Staff,2,User 1,staff-protected
2026-06-02 09:59:00,Staff,2,User 1,staff-protected
2026-06-02 10:15:00,Staff,2,User 1,staff-protected
2026-06-02 10:31:00,Staff,2,User 1,staff-protected
2026-06-02 10:47:00,Staff,2,User 1,staff-protected
2026-06-02 11:03:00,Staff,2,User 1,staff-protected
2026-06-02 11:19:00,Staff,2,User 1,staff-protected
2026-06-02 11:34:00,Staff,2,User 1,staff-protected
2026-06-02 11:50:00,Staff,2,User 1,staff-protected
2026-06-02 12:06:00,Staff,2,User 1,staff-protected
2026-06-02 12:21:00,Staff,2,User 1,staff-protected
2026-06-02 12:37:00,Staff,2,User 1,staff-protected
2026-06-02 12:52:00,Staff,2,User 1,staff-protected
2026-06-02 13:08:00,Staff,2,User 1,staff-protected
2026-06-02 13:24:00,Staff,2,User 1,staff-protected
2026-06-02 13:40:00,Staff,2,User 1,staff-protected
2026-06-02 13:56:00,Staff,2,User 1,staff-protected
2026-06-02 14:11:00,Staff,2,User 1,staff-protected
2026-06-02 14:26:00,Staff,2,User 1,staff-protected
2026-06-02 14:42:00,Staff,2,User 1,staff-protected
2026-06-02 14:57:00,Staff,2,User 1,staff-protected
2026-06-02 15:12:00,Staff,2,User 1,staff-protected
2026-06-02 15:28:00,Staff,2,User 1,staff-protected
2026-06-02 15:43:00,Staff,2,User 1,staff-protected
2026-06-02 15:59:00,Staff,2,User 1,staff-protected
2026-06-02 16:14:00,Staff,2,User 1,staff-protected
2026-06-02 16:30:00,Staff,2,User 1,staff-protected
2026-06-02 16:46:00,Staff,2,User 1,staff-protected
2026-06-02 17:01:00,Staff,2,User 1,staff-protected
2026-06-02 17:16:00,Staff,2,User 1,staff-protected
2026-06-02 17:32:00,Staff,2,User 1,staff-protected
2026-06-02 17:47:00,Staff,2,User 1,staff-protected
2026-06-02 18:03:00,Staff,2,User 1,staff-protected
2026-06-02 18:19:00,Staff,2,User 1,staff-protected
2026-06-02 18:35:00,Staff,2,User 1,staff-protected
2026-06-02 18:50:00,Staff,2,User 1,staff-protected
2026-06-02 19:06:00,Staff,2,User 1,staff-protected
2026-06-02 19:21:00,Staff,2,User 1,staff-protected
2026-06-02 19:37:00,Staff,2,User 1,staff-protected
2026-06-02 19:52:00,Staff,2,User 1,staff-protected
2026-06-02 20:07:00,Staff,2,User 1,staff-protected
2026-06-02 20:22:00,Staff,2,User 1,staff-protected
2026-06-02 20:38:00,Staff,2,User 1,staff-protected
2026-06-02 20:53:00,Staff,2,User 1,staff-protected
2026-06-02 21:09:00,Staff,2,User 1,staff-protected
2026-06-02 21:24:00,Staff,2,User 1,staff-protected
2026-06-02 21:39:00,Staff,2,User 1,staff-protected
2026-06-02 21:55:00,Staff,2,User 1,staff-protected
2026-06-02 22:11:00,Staff,2,User 1,staff-protected
2026-06-02 22:27:00,Staff,2,User 1,staff-protected
2026-06-02 22:42:00,Staff,2,User 1,staff-protected
2026-06-02 22:58:00,Staff,2,User 1,staff-protected
2026-06-02 23:14:00,Staff,2,User 1,staff-protected
2026-06-02 23:30:00,Staff,2,User 1,staff-protected
2026-06-02 23:45:00,Staff,2,User 1,staff-protected
2026-06-03 00:00:00,Staff,2,User 1,staff-protected
2026-06-03 00:16:00,Staff,2,User 1,staff-protected
2026-06-03 00:31:00,Staff,2,User 1,staff-protected
2026-06-03 00:46:00,Staff,2,User 1,staff-protected
2026-06-03 01:02:00,Staff,2,User 1,staff-protected
2026-06-03 01:18:00,Staff,2,User 1,staff-protected
2026-06-03 01:34:00,Staff,2,User 1,staff-protected
2026-06-03 01:49:00,Staff,2,User 1,staff-protected
2026-06-03 02:05:00,Staff,2,User 1,staff-protected
2026-06-03 02:20:00,Staff,2,User 1,staff-protected
2026-06-03 02:36:00,Staff,2,User 1,staff-protected
2026-06-03 02:51:00,Staff,2,User 1,staff-protected
2026-06-03 03:07:00,Staff,2,User 1,staff-protected
2026-06-03 03:22:00,Staff,2,User 1,staff-protected
2026-06-03 03:38:00,Staff,2,User 1,staff-protected
2026-06-03 03:53:00,Staff,2,User 1,staff-protected
2026-06-03 04:08:00,Staff,2,User 1,staff-protected
2026-06-03 04:24:00,Staff,2,User 1,staff-protected
2026-06-03 04:40:00,Staff,2,User 1,staff-protected
2026-06-03 04:55:00,Staff,2,User 1,staff-protected
2026-06-03 05:11:00,Staff,2,User 1,staff-protected
2026-06-03 05:26:00,Staff,2,User 1,staff-protected
2026-06-03 05:42:00,Staff,2,User 1,staff-protected
2026-06-03 05:58:00,Staff,2,User 1,staff-protected
2026-06-03 06:13:00,Staff,2,User 1,staff-protected
2026-06-03 06:29:00,Staff,2,User 1,staff-protected
2026-06-03 06:44:00,Staff,2,User 1,staff-protected
2026-06-03 07:00:00,Staff,2,User 1,staff-protected
2026-06-03 07:16:00,Staff,2,User 1,staff-protected
2026-06-03 07:31:00,Staff,2,User 1,staff-protected
2026-06-03 07:46:00,Staff,2,User 1,staff-protected
2026-06-03 08:02:00,Staff,2,User 1,staff-protected
2026-06-03 08:17:00,Staff,2,User 1,staff-protected
2026-06-03 08:32:00,Staff,2,User 1,staff-protected
2026-06-03 08:48:00,Staff,2,User 1,staff-protected
2026-06-03 09:03:00,Staff,2,User 1,staff-protected
2026-06-03 09:19:00,Staff,2,User 1,staff-protected
2026-06-03 09:35:00,Staff,2,User 1,staff-protected
2026-06-03 09:50:00,Staff,2,User 1,staff-protected
2026-06-03 10:06:00,Staff,2,User 1,staff-protected
2026-06-03 10:21:00,Staff,2,User 1,staff-protected
2026-06-03 10:36:00,Staff,2,User 1,staff-protected
2026-06-03 10:52:00,Staff,2,User 1,staff-protected
2026-06-03 11:07:00,Staff,2,User 1,staff-protected
2026-06-03 11:23:00,Staff,2,User 1,staff-protected
2026-06-03 11:39:00,Staff,2,User 1,staff-protected
2026-06-03 11:55:00,Staff,2,User 1,staff-protected
2026-06-03 12:11:00,Staff,2,User 1,staff-protected
2026-06-03 12:26:00,Staff,2,User 1,staff-protected
2026-06-03 12:42:00,Staff,2,User 1,staff-protected
2026-06-03 13:44:00,Staff,2,User 1,staff-protected
2026-06-03 14:00:00,Staff,2,User 1,staff-protected
2026-06-03 14:16:00,Staff,2,User 1,staff-protected
2026-06-03 14:31:00,Staff,2,User 1,staff-protected
2026-06-03 14:47:00,Staff,2,User 1,staff-protected
2026-06-03 15:03:00,Staff,2,User 1,staff-protected
2026-06-03 15:18:00,Staff,2,User 1,staff-protected
2026-06-03 15:34:00,Staff,2,User 1,staff-protected
2026-06-03 15:51:01,Unknown (slot 0),0,Unknown,
2026-06-03 16:09:00,Unknown (slot 0),0,Unknown,
2026-06-03 16:25:00,Unknown (slot 0),0,Unknown,
2026-06-03 16:40:00,Unknown (slot 0),0,Unknown,
2026-06-03 16:55:00,Unknown (slot 0),0,Unknown,
2026-06-03 17:11:00,Unknown (slot 0),0,Unknown,
2026-06-03 17:26:00,Unknown (slot 0),0,Unknown,
2026-06-03 17:42:00,Unknown (slot 0),0,Unknown,
2026-06-03 17:58:00,Unknown (slot 0),0,Unknown,
2026-06-03 18:13:00,Unknown (slot 0),0,Unknown,
2026-06-03 18:28:00,Unknown (slot 0),0,Unknown,
2026-06-03 18:44:00,Unknown (slot 0),0,Unknown,
2026-06-03 18:59:00,Unknown (slot 0),0,Unknown,
2026-06-03 19:15:00,Unknown (slot 0),0,Unknown,
2026-06-03 19:31:00,Unknown (slot 0),0,Unknown,
2026-06-03 19:46:00,Unknown (slot 0),0,Unknown,
2026-06-03 20:02:00,Unknown (slot 0),0,Unknown,
2026-06-03 20:17:00,Unknown (slot 0),0,Unknown,
2026-06-03 20:33:00,Unknown (slot 0),0,Unknown,
2026-06-03 20:48:00,Unknown (slot 0),0,Unknown,
2026-06-03 21:04:00,Unknown (slot 0),0,Unknown,
2026-06-03 21:20:00,Unknown (slot 0),0,Unknown,
2026-06-03 21:35:00,Unknown (slot 0),0,Unknown,
2026-06-03 21:51:00,Unknown (slot 0),0,Unknown,
2026-06-03 22:06:00,Unknown (slot 0),0,Unknown,
2026-06-03 22:22:00,Unknown (slot 0),0,Unknown,
2026-06-03 22:37:00,Unknown (slot 0),0,Unknown,
2026-06-03 22:53:00,Unknown (slot 0),0,Unknown,
2026-06-03 23:08:00,Unknown (slot 0),0,Unknown,
2026-06-03 23:24:00,Unknown (slot 0),0,Unknown,
2026-06-03 23:40:00,Unknown (slot 0),0,Unknown,
2026-06-03 23:55:00,Unknown (slot 0),0,Unknown,
2026-06-04 00:11:00,Unknown (slot 0),0,Unknown,
2026-06-04 00:26:00,Unknown (slot 0),0,Unknown,
2026-06-04 00:42:00,Unknown (slot 0),0,Unknown,
2026-06-04 00:57:00,Unknown (slot 0),0,Unknown,
2026-06-04 01:12:00,Unknown (slot 0),0,Unknown,
2026-06-04 01:27:00,Unknown (slot 0),0,Unknown,
2026-06-04 01:43:00,Unknown (slot 0),0,Unknown,
2026-06-04 01:58:00,Unknown (slot 0),0,Unknown,
2026-06-04 02:14:00,Unknown (slot 0),0,Unknown,
2026-06-04 02:29:00,Unknown (slot 0),0,Unknown,
2026-06-04 02:45:00,Unknown (slot 0),0,Unknown,
2026-06-04 03:00:00,Unknown (slot 0),0,Unknown,
2026-06-04 03:16:00,Unknown (slot 0),0,Unknown,
2026-06-04 03:32:00,Unknown (slot 0),0,Unknown,
2026-06-04 03:47:00,Unknown (slot 0),0,Unknown,
2026-06-04 04:03:00,Unknown (slot 0),0,Unknown,
2026-06-04 04:18:00,Unknown (slot 0),0,Unknown,
2026-06-04 04:34:00,Unknown (slot 0),0,Unknown,
2026-06-04 04:49:00,Unknown (slot 0),0,Unknown,
2026-06-04 05:04:00,Unknown (slot 0),0,Unknown,
2026-06-04 05:19:00,Unknown (slot 0),0,Unknown,
2026-06-04 05:35:00,Unknown (slot 0),0,Unknown,
2026-06-04 05:51:00,Unknown (slot 0),0,Unknown,
2026-06-04 06:06:00,Unknown (slot 0),0,Unknown,
2026-06-04 06:22:00,Unknown (slot 0),0,Unknown,
2026-06-04 06:23:00,Staff,2,User 1,staff-protected
2026-06-04 06:38:00,Staff,2,User 1,staff-protected
2026-06-04 06:54:00,Staff,2,User 1,staff-protected
2026-06-04 07:09:00,Staff,2,User 1,staff-protected
2026-06-04 07:25:00,Staff,2,User 1,staff-protected
2026-06-04 07:40:00,Staff,2,User 1,staff-protected
2026-06-04 07:56:00,Staff,2,User 1,staff-protected
2026-06-04 08:11:00,Staff,2,User 1,staff-protected
2026-06-04 08:27:00,Staff,2,User 1,staff-protected
2026-06-04 08:43:00,Staff,2,User 1,staff-protected
2026-06-04 08:59:00,Staff,2,User 1,staff-protected
2026-06-04 09:14:00,Staff,2,User 1,staff-protected
2026-06-04 09:30:00,Staff,2,User 1,staff-protected
2026-06-04 09:46:00,Staff,2,User 1,staff-protected
2026-06-04 10:01:00,Staff,2,User 1,staff-protected
2026-06-04 10:17:00,Staff,2,User 1,staff-protected
2026-06-04 10:33:00,Staff,2,User 1,staff-protected
2026-06-04 10:48:00,Staff,2,User 1,staff-protected
2026-06-04 11:03:00,Staff,2,User 1,staff-protected
2026-06-04 11:19:00,Staff,2,User 1,staff-protected
2026-06-04 11:34:00,Staff,2,User 1,staff-protected
2026-06-04 11:49:00,Staff,2,User 1,staff-protected
2026-06-04 12:04:00,Staff,2,User 1,staff-protected
2026-06-04 12:20:00,Staff,2,User 1,staff-protected
2026-06-04 12:35:00,Staff,2,User 1,staff-protected
2026-06-04 12:51:00,Staff,2,User 1,staff-protected
2026-06-04 13:07:00,Staff,2,User 1,staff-protected
2026-06-04 13:22:00,Staff,2,User 1,staff-protected
2026-06-04 13:38:00,Staff,2,User 1,staff-protected
2026-06-04 13:53:00,Staff,2,User 1,staff-protected
2026-06-04 14:09:00,Staff,2,User 1,staff-protected
2026-06-04 14:25:00,Staff,2,User 1,staff-protected
2026-06-04 14:40:00,Staff,2,User 1,staff-protected
2026-06-04 14:56:00,Staff,2,User 1,staff-protected
2026-06-04 15:12:00,Staff,2,User 1,staff-protected
2026-06-04 15:28:00,Staff,2,User 1,staff-protected
2026-06-04 15:44:00,Staff,2,User 1,staff-protected
2026-06-04 15:59:00,Staff,2,User 1,staff-protected
2026-06-04 16:14:00,Staff,2,User 1,staff-protected
2026-06-04 16:29:00,Staff,2,User 1,staff-protected
2026-06-04 16:45:00,Staff,2,User 1,staff-protected
2026-06-04 17:00:00,Staff,2,User 1,staff-protected
2026-06-04 17:16:00,Staff,2,User 1,staff-protected
2026-06-04 17:31:00,Staff,2,User 1,staff-protected
2026-06-04 17:46:00,Staff,2,User 1,staff-protected
2026-06-04 18:02:00,Staff,2,User 1,staff-protected
2026-06-04 18:18:00,Staff,2,User 1,staff-protected
2026-06-04 18:33:00,Staff,2,User 1,staff-protected
2026-06-04 18:49:00,Staff,2,User 1,staff-protected
2026-06-04 19:04:00,Staff,2,User 1,staff-protected
2026-06-04 19:20:00,Staff,2,User 1,staff-protected
2026-06-04 19:35:00,Staff,2,User 1,staff-protected
2026-06-04 19:51:00,Staff,2,User 1,staff-protected
2026-06-04 20:07:00,Staff,2,User 1,staff-protected
2026-06-04 20:23:00,Staff,2,User 1,staff-protected
2026-06-04 20:39:00,Staff,2,User 1,staff-protected
2026-06-04 20:54:00,Staff,2,User 1,staff-protected
2026-06-04 21:09:00,Staff,2,User 1,staff-protected
2026-06-04 21:25:00,Staff,2,User 1,staff-protected
2026-06-04 21:40:00,Staff,2,User 1,staff-protected
2026-06-04 21:56:00,Staff,2,User 1,staff-protected
2026-06-04 22:12:00,Staff,2,User 1,staff-protected
2026-06-04 22:27:00,Staff,2,User 1,staff-protected
2026-06-04 22:43:00,Staff,2,User 1,staff-protected
2026-06-04 22:59:00,Staff,2,User 1,staff-protected
2026-06-04 23:14:00,Staff,2,User 1,staff-protected
2026-06-04 23:30:00,Staff,2,User 1,staff-protected
2026-06-04 23:46:00,Staff,2,User 1,staff-protected
2026-06-05 00:01:00,Staff,2,User 1,staff-protected
2026-06-05 00:17:00,Staff,2,User 1,staff-protected
2026-06-05 00:33:00,Staff,2,User 1,staff-protected
2026-06-05 00:49:00,Staff,2,User 1,staff-protected
2026-06-05 01:04:00,Staff,2,User 1,staff-protected
2026-06-05 01:19:00,Staff,2,User 1,staff-protected
2026-06-05 01:34:00,Staff,2,User 1,staff-protected
2026-06-05 01:49:00,Staff,2,User 1,staff-protected
2026-06-05 02:05:00,Staff,2,User 1,staff-protected
2026-06-05 02:21:00,Staff,2,User 1,staff-protected
2026-06-05 02:37:00,Staff,2,User 1,staff-protected
2026-06-05 02:52:00,Staff,2,User 1,staff-protected
2026-06-05 03:08:00,Staff,2,User 1,staff-protected
2026-06-05 03:23:00,Staff,2,User 1,staff-protected
2026-06-05 03:38:00,Staff,2,User 1,staff-protected
2026-06-05 03:53:00,Staff,2,User 1,staff-protected
2026-06-05 04:09:00,Staff,2,User 1,staff-protected
2026-06-05 04:24:00,Staff,2,User 1,staff-protected
2026-06-05 04:39:00,Staff,2,User 1,staff-protected
2026-06-05 04:54:00,Staff,2,User 1,staff-protected
2026-06-05 05:10:00,Staff,2,User 1,staff-protected
2026-06-05 05:25:00,Staff,2,User 1,staff-protected
2026-06-05 05:41:00,Staff,2,User 1,staff-protected
2026-06-05 05:56:00,Staff,2,User 1,staff-protected
2026-06-05 06:11:00,Staff,2,User 1,staff-protected
2026-06-05 06:27:00,Staff,2,User 1,staff-protected
2026-06-05 06:42:00,Staff,2,User 1,staff-protected
2026-06-05 06:58:00,Staff,2,User 1,staff-protected
2026-06-05 07:14:00,Staff,2,User 1,staff-protected
2026-06-05 07:29:00,Staff,2,User 1,staff-protected
2026-06-05 07:44:00,Staff,2,User 1,staff-protected
2026-06-05 08:00:00,Staff,2,User 1,staff-protected
2026-06-05 08:16:00,Staff,2,User 1,staff-protected
2026-06-05 08:31:00,Staff,2,User 1,staff-protected
2026-06-05 08:47:00,Staff,2,User 1,staff-protected
2026-06-05 09:02:00,Staff,2,User 1,staff-protected
2026-06-05 09:18:00,Staff,2,User 1,staff-protected
2026-06-05 09:34:00,Staff,2,User 1,staff-protected
